Rain,Temperature,RH,DewPoint,WindSpeed,GustSpeed,WindDirection,PLANTA,FRUTO,SEVERIDAD (%),INCIDENCIA
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,7,8,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,7,9,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,7,10,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,8,1,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,8,2,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,8,3,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,8,4,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,8,5,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,8,6,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,8,7,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,8,8,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,8,9,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,8,10,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,9,1,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,9,2,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,9,3,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,9,4,100,1
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,9,5,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,9,6,75,1
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,9,7,30,1
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,9,8,100,1
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,9,9,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,9,10,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,10,1,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,10,2,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,10,3,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,10,4,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,10,5,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,10,6,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,10,7,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,10,8,0,0
